,day,day_range,total_count,weather,day_of_week,celebration,season,month,day_of_year,count_discretized
0,2015-12-10,1200,255,Sunny,5,False,Autumn,12,10,2.0
1,2015-11-24,0,3,Partly cloudy,3,False,Autumn,11,24,0.0
2,2015-10-19,1200,361,Sunny,2,False,Autumn,10,19,2.0
3,2015-10-02,600,218,Light rain shower,6,False,Autumn,10,2,2.0
4,2015-09-12,1200,76,Partly cloudy,7,False,Summer,9,12,1.0
5,2015-08-25,1200,84,Sunny,3,False,Summer,8,25,1.0
6,2015-07-28,0,13,Clear,3,False,Summer,7,28,0.0
7,2015-07-02,600,220,Clear,5,False,Summer,7,2,2.0
8,2015-05-02,0,16,Light drizzle,7,False,Spring,5,2,0.0
9,2015-04-02,1800,131,Sunny,5,False,Spring,4,2,1.0
10,2015-03-04,1800,128,Moderate rain,4,False,Winter,3,4,1.0
11,2015-02-02,1200,173,Sunny,2,False,Winter,2,2,2.0
12,2015-01-10,1200,97,Sunny,7,False,Winter,1,10,1.0
13,2015-12-29,0,4,Partly cloudy,3,False,Winter,12,29,0.0
14,2015-12-12,1200,83,Patchy rain possible,7,False,Autumn,12,12,1.0
15,2015-11-11,1200,326,Sunny,4,False,Autumn,11,11,2.0
16,2015-08-30,0,19,Clear,1,False,Summer,8,30,0.0
17,2015-03-11,0,14,Clear,4,False,Winter,3,11,0.0
18,2015-11-05,1800,128,Sunny,5,False,Autumn,11,5,1.0
19,2015-10-23,1200,290,Sunny,6,False,Autumn,10,23,2.0
20,2015-10-17,600,47,Overcast,7,False,Autumn,10,17,1.0
21,2015-07-23,600,207,Clear,5,False,Summer,7,23,2.0
22,2015-07-19,1800,70,Sunny,1,False,Summer,7,19,1.0
23,2015-06-12,0,21,Clear,6,False,Spring,6,12,0.0
24,2015-03-04,0,11,Clear,4,False,Winter,3,4,0.0
25,2015-09-18,0,15,Cloudy,6,False,Summer,9,18,0.0
26,2015-08-14,1800,17,Sunny,6,False,Summer,8,14,0.0
27,2015-06-12,1800,123,Partly cloudy,6,False,Spring,6,12,1.0
28,2015-06-02,1800,96,Sunny,3,True,Spring,6,2,1.0
29,2015-04-22,0,12,Clear,4,False,Spring,4,22,0.0
30,2015-01-17,1800,71,Light rain,7,False,Winter,1,17,1.0
31,2015-12-14,0,6,Partly cloudy,2,False,Autumn,12,14,0.0
32,2015-11-25,0,5,Cloudy,4,False,Autumn,11,25,0.0
33,2015-10-04,1200,60,Patchy rain possible,1,False,Autumn,10,4,1.0
34,2015-08-17,0,1,Clear,2,False,Summer,8,17,0.0
35,2015-05-15,1200,200,Light rain shower,6,False,Spring,5,15,2.0
36,2015-05-04,1800,174,Sunny,2,False,Spring,5,4,2.0
37,2015-02-23,600,310,Clear,2,False,Winter,2,23,2.0
38,2015-01-12,1800,121,Sunny,2,False,Winter,1,12,1.0
39,2015-12-21,1200,121,Overcast,2,False,Autumn,12,21,1.0
40,2015-11-21,1800,35,Patchy rain possible,7,False,Autumn,11,21,1.0
41,2015-11-17,1200,325,Sunny,3,False,Autumn,11,17,2.0
42,2015-09-01,1200,138,Sunny,3,False,Summer,9,1,1.0
43,2015-06-16,1800,101,Sunny,3,False,Spring,6,16,1.0
44,2015-06-07,1800,109,Sunny,1,False,Spring,6,7,1.0
45,2015-05-25,600,347,Clear,2,False,Spring,5,25,2.0
46,2015-05-04,600,372,Clear,2,False,Spring,5,4,2.0
47,2015-03-20,1200,350,Sunny,6,False,Winter,3,20,2.0
48,2015-03-04,1200,287,Light rain shower,4,False,Winter,3,4,2.0
49,2015-08-04,600,99,Clear,3,False,Summer,8,4,1.0
50,2015-03-01,0,25,Clear,1,False,Winter,3,1,0.0
51,2015-02-08,1200,51,Sunny,1,False,Winter,2,8,1.0
52,2015-02-07,600,58,Clear,7,False,Winter,2,7,1.0
53,2015-01-02,600,29,Clear,6,False,Winter,1,2,0.0
54,2015-12-30,600,55,Light drizzle,4,False,Winter,12,30,1.0
55,2015-12-03,1800,92,Sunny,5,False,Autumn,12,3,1.0
56,2015-09-14,0,12,Moderate or heavy rain shower,2,False,Summer,9,14,0.0
57,2015-06-02,0,12,Clear,3,True,Spring,6,2,0.0
58,2015-04-15,1800,163,Sunny,4,False,Spring,4,15,2.0
59,2015-02-16,1200,210,Light rain,2,False,Winter,2,16,2.0
60,2015-01-24,0,13,Partly cloudy,7,False,Winter,1,24,0.0
61,2015-01-05,1800,34,Sunny,2,False,Winter,1,5,0.0
62,2015-12-29,600,45,Partly cloudy,3,False,Winter,12,29,1.0
