day,day_range,weather
01/01/2015,0,Clear
01/01/2015,600,Clear
01/01/2015,1200,Sunny
01/01/2015,1800,Sunny
02/01/2015,0,Clear
02/01/2015,600,Clear
02/01/2015,1200,Sunny
02/01/2015,1800,Sunny
03/01/2015,0,Clear
03/01/2015,600,Mist
03/01/2015,1200,Sunny
03/01/2015,1800,Sunny
04/01/2015,0,Partly cloudy
04/01/2015,600,Partly cloudy
04/01/2015,1200,Sunny
04/01/2015,1800,Sunny
05/01/2015,0,Clear
05/01/2015,600,Clear
05/01/2015,1200,Sunny
05/01/2015,1800,Sunny
06/01/2015,0,Clear
06/01/2015,600,Partly cloudy
06/01/2015,1200,Patchy rain possible
06/01/2015,1800,Patchy light drizzle
07/01/2015,0,Partly cloudy
07/01/2015,600,Partly cloudy
07/01/2015,1200,Sunny
07/01/2015,1800,Sunny
08/01/2015,0,Clear
08/01/2015,600,Clear
08/01/2015,1200,Partly cloudy
08/01/2015,1800,Partly cloudy
09/01/2015,0,Patchy rain possible
09/01/2015,600,Cloudy
09/01/2015,1200,Partly cloudy
09/01/2015,1800,Sunny
10/01/2015,0,Partly cloudy
10/01/2015,600,Clear
10/01/2015,1200,Sunny
10/01/2015,1800,Sunny
11/01/2015,0,Mist
11/01/2015,600,Mist
11/01/2015,1200,Light drizzle
11/01/2015,1800,Sunny
12/01/2015,0,Clear
12/01/2015,600,Clear
12/01/2015,1200,Sunny
12/01/2015,1800,Sunny
13/01/2015,0,Clear
13/01/2015,600,Clear
13/01/2015,1200,Sunny
13/01/2015,1800,Partly cloudy
14/01/2015,0,Partly cloudy
14/01/2015,600,Patchy rain possible
14/01/2015,1200,Patchy light drizzle
14/01/2015,1800,Patchy rain possible
15/01/2015,0,Partly cloudy
15/01/2015,600,Cloudy
15/01/2015,1200,Patchy light drizzle
15/01/2015,1800,Sunny
16/01/2015,0,Cloudy
16/01/2015,600,Light drizzle
16/01/2015,1200,Light drizzle
16/01/2015,1800,Light rain shower
17/01/2015,0,Light rain shower
17/01/2015,600,Light rain shower
17/01/2015,1200,Moderate rain
17/01/2015,1800,Light rain
18/01/2015,0,Partly cloudy
18/01/2015,600,Clear
18/01/2015,1200,Sunny
18/01/2015,1800,Sunny
19/01/2015,0,Clear
19/01/2015,600,Clear
19/01/2015,1200,Partly cloudy
19/01/2015,1800,Cloudy
20/01/2015,0,Overcast
20/01/2015,600,Overcast
20/01/2015,1200,Partly cloudy
20/01/2015,1800,Partly cloudy
21/01/2015,0,Light drizzle
21/01/2015,600,Light drizzle
21/01/2015,1200,Light drizzle
21/01/2015,1800,Patchy rain possible
22/01/2015,0,Light rain shower
22/01/2015,600,Partly cloudy
22/01/2015,1200,Partly cloudy
22/01/2015,1800,Sunny
23/01/2015,0,Clear
23/01/2015,600,Partly cloudy
23/01/2015,1200,Sunny
23/01/2015,1800,Sunny
24/01/2015,0,Partly cloudy
24/01/2015,600,Partly cloudy
24/01/2015,1200,Partly cloudy
24/01/2015,1800,Sunny
25/01/2015,0,Partly cloudy
25/01/2015,600,Cloudy
25/01/2015,1200,Cloudy
25/01/2015,1800,Sunny
26/01/2015,0,Clear
26/01/2015,600,Partly cloudy
26/01/2015,1200,Sunny
26/01/2015,1800,Sunny
27/01/2015,0,Clear
27/01/2015,600,Partly cloudy
27/01/2015,1200,Sunny
27/01/2015,1800,Sunny
28/01/2015,0,Clear
28/01/2015,600,Clear
28/01/2015,1200,Sunny
