day,day_range,weather,day_of_week,celebration,season
2015-01-01,0,Clear,5,1,Winter
2015-01-01,600,Clear,5,1,Winter
2015-01-01,1200,Sunny,5,1,Winter
2015-01-01,1800,Sunny,5,1,Winter
2015-01-02,0,Clear,6,0,Winter
2015-01-02,600,Clear,6,0,Winter
2015-01-02,1200,Sunny,6,0,Winter
2015-01-02,1800,Sunny,6,0,Winter
2015-01-03,0,Clear,7,0,Winter
2015-01-03,600,Mist,7,0,Winter
2015-01-03,1200,Sunny,7,0,Winter
2015-01-03,1800,Sunny,7,0,Winter
2015-01-04,0,Partly cloudy,1,0,Winter
2015-01-04,600,Partly cloudy,1,0,Winter
2015-01-04,1200,Sunny,1,0,Winter
2015-01-04,1800,Sunny,1,0,Winter
2015-01-05,0,Clear,2,0,Winter
2015-01-05,600,Clear,2,0,Winter
2015-01-05,1200,Sunny,2,0,Winter
2015-01-05,1800,Sunny,2,0,Winter
2015-01-06,0,Clear,3,1,Winter
2015-01-06,600,Partly cloudy,3,1,Winter
2015-01-06,1200,Patchy rain possible,3,1,Winter
2015-01-06,1800,Patchy light drizzle,3,1,Winter
2015-01-07,0,Partly cloudy,4,0,Winter
2015-01-07,600,Partly cloudy,4,0,Winter
2015-01-07,1200,Sunny,4,0,Winter
2015-01-07,1800,Sunny,4,0,Winter
2015-01-08,0,Clear,5,0,Winter
2015-01-08,600,Clear,5,0,Winter
2015-01-08,1200,Partly cloudy,5,0,Winter
2015-01-08,1800,Partly cloudy,5,0,Winter
2015-01-09,0,Patchy rain possible,6,0,Winter
2015-01-09,600,Cloudy,6,0,Winter
2015-01-09,1200,Partly cloudy,6,0,Winter
2015-01-09,1800,Sunny,6,0,Winter
2015-01-10,0,Partly cloudy,7,0,Winter
2015-01-10,600,Clear,7,0,Winter
2015-01-10,1200,Sunny,7,0,Winter
2015-01-10,1800,Sunny,7,0,Winter
2015-01-11,0,Mist,1,0,Winter
2015-01-11,600,Mist,1,0,Winter
2015-01-11,1200,Light drizzle,1,0,Winter
2015-01-11,1800,Sunny,1,0,Winter
2015-01-12,0,Clear,2,0,Winter
2015-01-12,600,Clear,2,0,Winter
2015-01-12,1200,Sunny,2,0,Winter
2015-01-12,1800,Sunny,2,0,Winter
2015-01-13,0,Clear,3,0,Winter
2015-01-13,600,Clear,3,0,Winter
2015-01-13,1200,Sunny,3,0,Winter
2015-01-13,1800,Partly cloudy,3,0,Winter
2015-01-14,0,Partly cloudy,4,0,Winter
2015-01-14,600,Patchy rain possible,4,0,Winter
2015-01-14,1200,Patchy light drizzle,4,0,Winter
2015-01-14,1800,Patchy rain possible,4,0,Winter
2015-01-15,0,Partly cloudy,5,0,Winter
2015-01-15,600,Cloudy,5,0,Winter
2015-01-15,1200,Patchy light drizzle,5,0,Winter
2015-01-15,1800,Sunny,5,0,Winter
2015-01-16,0,Cloudy,6,0,Winter
2015-01-16,600,Light drizzle,6,0,Winter
2015-01-16,1200,Light drizzle,6,0,Winter
2015-01-16,1800,Light rain shower,6,0,Winter
2015-01-17,0,Light rain shower,7,0,Winter
2015-01-17,600,Light rain shower,7,0,Winter
2015-01-17,1200,Moderate rain,7,0,Winter
2015-01-17,1800,Light rain,7,0,Winter
2015-01-18,0,Partly cloudy,1,0,Winter
2015-01-18,600,Clear,1,0,Winter
2015-01-18,1200,Sunny,1,0,Winter
2015-01-18,1800,Sunny,1,0,Winter
2015-01-19,0,Clear,2,0,Winter
2015-01-19,600,Clear,2,0,Winter
2015-01-19,1200,Partly cloudy,2,0,Winter
2015-01-19,1800,Cloudy,2,0,Winter
2015-01-20,0,Overcast,3,0,Winter
2015-01-20,600,Overcast,3,0,Winter
2015-01-20,1200,Partly cloudy,3,0,Winter
2015-01-20,1800,Partly cloudy,3,0,Winter
2015-01-21,0,Light drizzle,4,0,Winter
2015-01-21,600,Light drizzle,4,0,Winter
2015-01-21,1200,Light drizzle,4,0,Winter
2015-01-21,1800,Patchy rain possible,4,0,Winter
2015-01-22,0,Light rain shower,5,0,Winter
2015-01-22,600,Partly cloudy,5,0,Winter
2015-01-22,1200,Partly cloudy,5,0,Winter
2015-01-22,1800,Sunny,5,0,Winter
2015-01-23,0,Clear,6,0,Winter
2015-01-23,600,Partly cloudy,6,0,Winter
2015-01-23,1200,Sunny,6,0,Winter
2015-01-23,1800,Sunny,6,0,Winter
2015-01-24,0,Partly cloudy,7,0,Winter
2015-01-24,600,Partly cloudy,7,0,Winter
2015-01-24,1200,Partly cloudy,7,0,Winter
2015-01-24,1800,Sunny,7,0,Winter
2015-01-25,0,Partly cloudy,1,0,Winter
2015-01-25,600,Cloudy,1,0,Winter
2015-01-25,1200,Cloudy,1,0,Winter
2015-01-25,1800,Sunny,1,0,Winter
2015-01-26,0,Clear,2,0,Winter
2015-01-26,600,Partly cloudy,2,0,Winter
2015-01-26,1200,Sunny,2,0,Winter
2015-01-26,1800,Sunny,2,0,Winter
2015-01-27,0,Clear,3,0,Winter
2015-01-27,600,Partly cloudy,3,0,Winter
2015-01-27,1200,Sunny,3,0,Winter
2015-01-27,1800,Sunny,3,0,Winter
2015-01-28,0,Clear,4,0,Winter
2015-01-28,600,Clear,4,0,Winter
2015-01-28,1200,Sunny,4,0,Winter
2015-01-28,1800,Sunny,4,0,Winter
2015-01-29,0,Clear,5,0,Winter
2015-01-29,600,Cloudy,5,0,Winter
2015-01-29,1200,Light drizzle,5,0,Winter
2015-01-29,1800,Partly cloudy,5,0,Winter
2015-01-30,0,Heavy rain,6,0,Winter
2015-01-30,600,Moderate or heavy rain shower,6,0,Winter
2015-01-30,1200,Light rain shower,6,0,Winter
2015-01-30,1800,Sunny,6,0,Winter
2015-01-31,0,Patchy rain possible,7,0,Winter
2015-01-31,600,Clear,7,0,Winter
2015-01-31,1200,Light rain shower,7,0,Winter
2015-01-31,1800,Light rain shower,7,0,Winter
2015-02-01,0,Patchy rain possible,1,0,Winter
2015-02-01,600,Light rain shower,1,0,Winter
2015-02-01,1200,Light rain shower,1,0,Winter
2015-02-01,1800,Sunny,1,0,Winter
2015-02-02,0,Clear,2,0,Winter
2015-02-02,600,Clear,2,0,Winter
2015-02-02,1200,Sunny,2,0,Winter
2015-02-02,1800,Patchy rain possible,2,0,Winter
2015-02-03,0,Patchy rain possible,3,0,Winter
2015-02-03,600,Light rain shower,3,0,Winter
2015-02-03,1200,Patchy light drizzle,3,0,Winter
2015-02-03,1800,Patchy rain possible,3,0,Winter
2015-02-04,0,Light rain,4,0,Winter
2015-02-04,600,Patchy rain possible,4,0,Winter
2015-02-04,1200,Light drizzle,4,0,Winter
2015-02-04,1800,Light rain,4,0,Winter
2015-02-05,0,Moderate rain,5,0,Winter
2015-02-05,600,Light rain,5,0,Winter
2015-02-05,1200,Moderate rain,5,0,Winter
2015-02-05,1800,Light rain shower,5,0,Winter
2015-02-06,0,Heavy rain,6,0,Winter
2015-02-06,600,Patchy light drizzle,6,0,Winter
2015-02-06,1200,Patchy light drizzle,6,0,Winter
2015-02-06,1800,Partly cloudy,6,0,Winter
2015-02-07,0,Partly cloudy,7,0,Winter
2015-02-07,600,Clear,7,0,Winter
2015-02-07,1200,Partly cloudy,7,0,Winter
2015-02-07,1800,Sunny,7,0,Winter
2015-02-08,0,Clear,1,0,Winter
2015-02-08,600,Clear,1,0,Winter
2015-02-08,1200,Sunny,1,0,Winter
2015-02-08,1800,Sunny,1,0,Winter
2015-02-09,0,Clear,2,0,Winter
2015-02-09,600,Clear,2,0,Winter
2015-02-09,1200,Sunny,2,0,Winter
2015-02-09,1800,Sunny,2,0,Winter
2015-02-10,0,Partly cloudy,3,0,Winter
2015-02-10,600,Cloudy,3,0,Winter
2015-02-10,1200,Sunny,3,0,Winter
2015-02-10,1800,Sunny,3,0,Winter
2015-02-11,0,Clear,4,0,Winter
2015-02-11,600,Clear,4,0,Winter
2015-02-11,1200,Sunny,4,0,Winter
2015-02-11,1800,Sunny,4,0,Winter
2015-02-12,0,Clear,5,0,Winter
2015-02-12,600,Clear,5,0,Winter
2015-02-12,1200,Sunny,5,0,Winter
2015-02-12,1800,Sunny,5,0,Winter
2015-02-13,0,Clear,6,0,Winter
2015-02-13,600,Partly cloudy,6,0,Winter
2015-02-13,1200,Cloudy,6,0,Winter
2015-02-13,1800,Patchy rain possible,6,0,Winter
2015-02-14,0,Partly cloudy,7,0,Winter
2015-02-14,600,Overcast,7,0,Winter
2015-02-14,1200,Light rain shower,7,0,Winter
2015-02-14,1800,Light rain shower,7,0,Winter
2015-02-15,0,Moderate or heavy rain with thunder,1,0,Winter
2015-02-15,600,Light drizzle,1,0,Winter
2015-02-15,1200,Patchy rain possible,1,0,Winter
2015-02-15,1800,Light rain shower,1,0,Winter
2015-02-16,0,Light rain shower,2,0,Winter
2015-02-16,600,Patchy rain possible,2,0,Winter
2015-02-16,1200,Light rain,2,0,Winter
2015-02-16,1800,Patchy light rain,2,0,Winter
2015-02-17,0,Patchy light drizzle,3,0,Winter
2015-02-17,600,Clear,3,0,Winter
2015-02-17,1200,Sunny,3,0,Winter
2015-02-17,1800,Sunny,3,0,Winter
2015-02-18,0,Clear,4,0,Winter
2015-02-18,600,Clear,4,0,Winter
2015-02-18,1200,Sunny,4,0,Winter
2015-02-18,1800,Sunny,4,0,Winter
2015-02-19,0,Clear,5,0,Winter
2015-02-19,600,Clear,5,0,Winter
2015-02-19,1200,Sunny,5,0,Winter
2015-02-19,1800,Sunny,5,0,Winter
2015-02-20,0,Partly cloudy,6,0,Winter
2015-02-20,600,Partly cloudy,6,0,Winter
2015-02-20,1200,Partly cloudy,6,0,Winter
2015-02-20,1800,Sunny,6,0,Winter
2015-02-21,0,Overcast,7,0,Winter
2015-02-21,600,Cloudy,7,0,Winter
2015-02-21,1200,Light rain,7,0,Winter
2015-02-21,1800,Light rain,7,0,Winter
2015-02-22,0,Moderate or heavy rain with thunder,1,0,Winter
2015-02-22,600,Moderate or heavy rain with thunder,1,0,Winter
2015-02-22,1200,Partly cloudy,1,0,Winter
2015-02-22,1800,Partly cloudy,1,0,Winter
2015-02-23,0,Clear,2,0,Winter
2015-02-23,600,Clear,2,0,Winter
2015-02-23,1200,Sunny,2,0,Winter
2015-02-23,1800,Cloudy,2,0,Winter
2015-02-24,0,Partly cloudy,3,0,Winter
2015-02-24,600,Light drizzle,3,0,Winter
